strategy,source,fair_same_substrate,content,network,users,seed,key,U,Rq,Ro,Rb,decoded_completion,B_shared,B_unicast,stall_last,p99_delay_ms,p99_delay_in_contract,duration_s,metric_code
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,151,c148dev_redandblack_fiber_optic_u60_HV3_COMPONENT_s151,0.5776188736827716,0.5641666529503899,0.982145656282479,0.04278354772054728,0.7611111111111111,511686227,28658921050,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,151,c148dev_redandblack_fiber_optic_u60_CLUSTERING_COMPONENT_s151,0.6773501719562475,0.7433331916530042,0.9821087460314217,0.09451286362273605,0.9428571428571428,366934023,20509128295,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,152,c148dev_redandblack_fiber_optic_u60_MD2G_COMPONENT_s152,0.7919861064407344,0.9366666463053747,0.983058532531234,0.10519009650199275,0.9533333333333334,335338418,19793941618,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,152,c148dev_redandblack_fiber_optic_u60_HV3_COMPONENT_s152,0.5729470411631868,0.5566666530394665,0.9815706873659726,0.04297081667990791,0.7555555555555555,227509433,12344976588,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,152,c148dev_redandblack_fiber_optic_u60_CLUSTERING_COMPONENT_s152,0.6669751380932698,0.7262498640176925,0.9814568563872084,0.09425996276098506,0.9380952380952381,343066171,18500971473,1.7053120493888856,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,153,c148dev_redandblack_fiber_optic_u60_MD2G_COMPONENT_s153,0.7836174410539128,0.9241666458409094,0.9829731844025451,0.11083895034179325,0.94,325819870,19135690296,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,153,c148dev_redandblack_fiber_optic_u60_HV3_COMPONENT_s153,0.5614198241443927,0.5374999863480262,0.9816649154241603,0.04330931013642037,0.7277777777777777,210023809,11454749943,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,60,153,c148dev_redandblack_fiber_optic_u60_CLUSTERING_COMPONENT_s153,0.6652568301251086,0.7229165204732483,0.9818964345580946,0.09311460532242646,0.9333333333333333,343123842,18953384796,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,151,c148dev_redandblack_fiber_optic_u100_MD2G_COMPONENT_s151,0.7765091733188615,0.9042499658349834,0.9896255049556469,0.08964788280693511,0.914,278991388,26892045040,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,fiber_optic,100,151,c148dev_redandblack_fiber_optic_u100_HV3_COMPONENT_s151,0.4915308098655356,0.4179999871615198,0.9889191428856156,0.043326454351867445,0.53,140208796,12653244650,0.0,,False,120,command148_canary_metrics.cell_metrics
