timestamp,headQuat,headEuler,headForw,headLatLon,headTilt,headUV
1.360503,"(-0.19420620,0.502512,-0.06155086, -0.84022440)","(22.84339000,297.0801, 354.28630000)","(-0.82053860,-0.3882137, 0.41953130)","(-22.84339000, -62.91990000)",-5.264214,"(0.32486570, 0.62371780)"
1.374477,"(-0.19457310,0.5059537,-0.06195343, -0.83804170)","(22.88059000,296.5844, 354.20340000)","(-0.82391170,-0.3888118, 0.41230430)","(-22.88059000, -63.41557000)",-5.339132,"(0.32337430, 0.62388250)"
1.386565,"(-0.19478450,0.5091659,-0.06205257, -0.83603740)","(22.88511000,296.1213, 354.10640000)","(-0.82718970,-0.3888844, 0.40561820)","(-22.88510000, -63.87865000)",-5.4282,"(0.32193730, 0.62386570)"
1.400426,"(-0.19507040,0.5120725,-0.06205832, -0.83419310)","(22.89288000,295.6971, 354.00320000)","(-0.83012320,-0.3890094, 0.39945860)","(-22.89288000, -64.30296000)",-5.5229,"(0.32060110, 0.62387550)"
1.413219,"(-0.19529020,0.5146459,-0.06189792, -0.83256830)","(22.88581000,295.3197, 353.89730000)","(-0.83277950,-0.3888958, 0.39400280)","(-22.88581000, -64.68034000)",-5.620682,"(0.31939360, 0.62381140)"
1.425797,"(-0.19554290,0.5167615,-0.06161559, -0.83121840)","(22.87729000,295.0045, 353.78990000)","(-0.83498640,-0.3887588, 0.38944100)","(-22.87729000, -64.99547000)",-5.719916,"(0.31835630, 0.62374460)"
1.440617,"(-0.19584510,0.5183795,-0.06127141, -0.83016460)","(22.87307000,294.7579, 353.68700000)","(-0.83668120,-0.3886909, 0.38585480)","(-22.87307000, -65.24213000)",-5.814768,"(0.31751570, 0.62370670)"
1.458501,"(-0.19599950,0.5198213,-0.06090895, -0.82925270)","(22.85434000,294.5411, 353.59790000)","(-0.83825030,-0.3883897, 0.38274000)","(-22.85434000, -65.45885000)",-5.897608,"(0.31676670, 0.62356550)"
1.466234,"(-0.19614760,0.5209063,-0.06070933, -0.82855120)","(22.84779000,294.3777, 353.53590000)","(-0.83937910,-0.3882845, 0.38036550)","(-22.84780000, -65.62229000)",-5.955028,"(0.31620850, 0.62350440)"
1.479746,"(-0.19628640,0.521679,-0.06055579, -0.82804330)","(22.84557000,294.2599, 353.48820000)","(-0.84017310,-0.3882486, 0.37864520)","(-22.84557000, -65.74009000)",-5.999009,"(0.31580100, 0.62347420)"
