block,content,network,users,seed,MD2G_U,MD2G_Rq,MD2G_Ro,MD2G_Rb,MD2G_weak_user_Rq,strongest_same,strongest_same_U,delta_U,unicast_U
redandblack_5g_dominant_u60_s153,redandblack,5g_dominant,60,153,0.8062470318854724,0.955416661575262,0.9831304529882691,0.0852371887116797,0.5500000053445943,RULE_COMPONENT,0.6771299049962239,0.12911712688924848,0.14939714700476556
redandblack_5g_u100_s151,redandblack,5g,100,151,0.8026631527935327,0.9417499545820127,0.9895865874019187,0.06522311204103044,0.49999997997823714,CLUSTERING_COMPONENT,0.6490533215300772,0.1536098312634555,0.14686660713609181
redandblack_5g_u100_s152,redandblack,5g,100,152,0.7699933248167229,0.8837499889266209,0.9893625350517806,0.05064868201463202,0.29999999749843875,CLUSTERING_COMPONENT,0.6589372878203579,0.11105603699636502,0.15207536990623716
redandblack_5g_u100_s153,redandblack,5g,100,153,0.7572223084256245,0.8624999566784897,0.9892359590022696,0.050577702213577345,0.0,CLUSTERING_COMPONENT,0.6489871582475677,0.10823515017805685,0.14513796423554068
redandblack_5g_u20_s151,redandblack,5g,20,151,0.5308426196185977,0.49999997997823714,0.95,0.04438245578896331,0.49999997997823714,RULE_COMPONENT,0.7108544408665897,-0.18001182124799198,0.29968535071014346
redandblack_5g_u20_s152,redandblack,5g,20,152,0.5121023788774081,0.4699999826062674,0.9470163017205642,0.044344574109956444,0.29999999749843875,RULE_COMPONENT,0.7239660227292724,-0.2118636438518643,0.34514904112598105
redandblack_5g_u20_s153,redandblack,5g,20,153,0.5309048197797438,0.49999997997823714,0.95,0.04396778804798947,0.49999997997823714,RULE_COMPONENT,0.6908833596357282,-0.15997853985598443,0.2385696095444155
redandblack_5g_u60_s151,redandblack,5g,60,151,0.8149470867216159,0.9724999997136878,0.9831897585098456,0.09566901822705419,0.5500000053445943,CLUSTERING_COMPONENT,0.6827480534011461,0.13219903332046978,0.12223743374056828
redandblack_5g_u60_s152,redandblack,5g,60,152,0.7950206388125476,0.942916651347232,0.9829582030745807,0.109792685096245,0.5500000053445943,RULE_COMPONENT,0.6763184056995022,0.1187022331130454,0.13111071957457227
redandblack_5g_u60_s153,redandblack,5g,60,153,0.8231909355212477,0.9833333134274422,0.9831986103556285,0.08405803416083238,0.7499999921538446,CLUSTERING_COMPONENT,0.7010997940445713,0.12209114147667632,0.1297484351158103
