strategy,source,content,network,users,seed,U_Rb0,U,Rq,Ro,Rb_matched_live_md2g,decoded_completion,bandwidth_mbps_shared,p99_delay_ms,n_ticks
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,152,0.8077646209160333,0.7919861064407344,0.9366666463053747,0.983058532531234,0.10519009650199275,0.9366666463053747,22.355894533333334,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,152,0.5793926636651731,0.5729470411631868,0.5566666530394665,0.9815706873659726,0.04297081667990791,0.5566666530394665,15.167295533333334,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,152,0.6811141325074176,0.6669751380932698,0.7262498640176925,0.9814568563872084,0.09425996276098506,0.7262498640176925,22.871078066666666,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,152,0.21349999794973964,0.14439362324704091,0.35583332991623273,0.0,0.46070916468465833,0.35583332991623273,204.572569,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,153,0.8002432836051818,0.7836174410539128,0.9241666458409094,0.9829731844025451,0.11083895034179325,0.9241666458409094,21.721324666666668,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,153,0.5679162206648558,0.5614198241443927,0.5374999863480262,0.9816649154241603,0.04330931013642037,0.5374999863480262,14.001587266666666,,
Clustering,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,153,0.6792240209234726,0.6652568301251086,0.7229165204732483,0.9818964345580946,0.09311460532242646,0.7229165204732483,22.8749228,,
MoQ Unicast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,60,153,0.20324998920854534,0.13432841346582192,0.3387499820142422,0.0,0.45947717161815604,0.3387499820142422,210.4418286,,
MD2G-Cast,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,151,0.7899563557399017,0.7765091733188615,0.9042499658349834,0.9896255049556469,0.08964788280693511,0.9042499658349834,18.599425866666667,,
Heuristic,FROZEN_LIVE_COMMAND153,redandblack,fiber_optic,100,151,0.4980297780183157,0.4915308098655356,0.4179999871615198,0.9889191428856156,0.043326454351867445,0.4179999871615198,9.347253066666667,,
